pixel_id,point_data
57100,POINT(-70.25 -50.25)
57101,POINT(-69.75 -50.25)
57102,POINT(-69.25 -50.25)
57103,POINT(-68.75 -50.25)
57104,POINT(-68.25 -50.25)
57809,POINT(-75.75 -49.75)
57810,POINT(-75.25 -49.75)
57811,POINT(-74.75 -49.75)
57812,POINT(-74.25 -49.75)
57813,POINT(-73.75 -49.75)
57814,POINT(-73.25 -49.75)
57815,POINT(-72.75 -49.75)
57816,POINT(-72.25 -49.75)
57817,POINT(-71.75 -49.75)
57818,POINT(-71.25 -49.75)
57819,POINT(-70.75 -49.75)
57820,POINT(-70.25 -49.75)
57821,POINT(-69.75 -49.75)
57822,POINT(-69.25 -49.75)
57823,POINT(-68.75 -49.75)
57824,POINT(-68.25 -49.75)
57825,POINT(-67.75 -49.75)
57826,POINT(-67.25 -49.75)
58098,POINT(68.75 -49.75)
58099,POINT(69.25 -49.75)
58100,POINT(69.75 -49.75)
58101,POINT(70.25 -49.75)
58318,POINT(178.75 -49.75)
58529,POINT(-75.75 -49.25)
58530,POINT(-75.25 -49.25)
58531,POINT(-74.75 -49.25)
58532,POINT(-74.25 -49.25)
58533,POINT(-73.75 -49.25)
58534,POINT(-73.25 -49.25)
58535,POINT(-72.75 -49.25)
58536,POINT(-72.25 -49.25)
58537,POINT(-71.75 -49.25)
58538,POINT(-71.25 -49.25)
58539,POINT(-70.75 -49.25)
58540,POINT(-70.25 -49.25)
58541,POINT(-69.75 -49.25)
58542,POINT(-69.25 -49.25)
58543,POINT(-68.75 -49.25)
58544,POINT(-68.25 -49.25)
58545,POINT(-67.75 -49.25)
58546,POINT(-67.25 -49.25)
58818,POINT(68.75 -49.25)
58819,POINT(69.25 -49.25)
58820,POINT(69.75 -49.25)
58821,POINT(70.25 -49.25)
59249,POINT(-75.75 -48.75)
59250,POINT(-75.25 -48.75)
59251,POINT(-74.75 -48.75)
59252,POINT(-74.25 -48.75)
59253,POINT(-73.75 -48.75)
59254,POINT(-73.25 -48.75)
59255,POINT(-72.75 -48.75)
59256,POINT(-72.25 -48.75)
59257,POINT(-71.75 -48.75)
59258,POINT(-71.25 -48.75)
59259,POINT(-70.75 -48.75)
59260,POINT(-70.25 -48.75)
59261,POINT(-69.75 -48.75)
59262,POINT(-69.25 -48.75)
59263,POINT(-68.75 -48.75)
59264,POINT(-68.25 -48.75)
59265,POINT(-67.75 -48.75)
59266,POINT(-67.25 -48.75)
59267,POINT(-66.75 -48.75)
59538,POINT(68.75 -48.75)
59539,POINT(69.25 -48.75)
59970,POINT(-75.25 -48.25)
59971,POINT(-74.75 -48.25)
59972,POINT(-74.25 -48.25)
59973,POINT(-73.75 -48.25)
59974,POINT(-73.25 -48.25)
59975,POINT(-72.75 -48.25)
59976,POINT(-72.25 -48.25)
59977,POINT(-71.75 -48.25)
59978,POINT(-71.25 -48.25)
59979,POINT(-70.75 -48.25)
59980,POINT(-70.25 -48.25)
59981,POINT(-69.75 -48.25)
59982,POINT(-69.25 -48.25)
59983,POINT(-68.75 -48.25)
59984,POINT(-68.25 -48.25)
59985,POINT(-67.75 -48.25)
59986,POINT(-67.25 -48.25)
59987,POINT(-66.75 -48.25)
59988,POINT(-66.25 -48.25)
60690,POINT(-75.25 -47.75)
